0.013677,0.082791,0.082791,0.082858,0.082858,0.164470,0.164652,0.164652,0.164652,0.164652,0.164652,0.164652,0.164652,0.164652,0.164652,0.164652,0.164652,0.164693,0.164693,0.164693,0.164693,0.164693,0.164693,0.164693,0.164693,0.164693,0.164693,0.164693,0.164693,0.164693,0.164693,0.164693,0.164693,0.164693,0.164693,0.164693,0.164693,0.164693,0.164693,0.164693,0.164693,0.164693,0.164693,0.164693,0.164693,0.164693,0.164693,0.164693,0.164693,0.164693,
0.012179,0.043273,0.043273,0.043273,0.043273,0.043273,0.043273,0.043273,0.043273,0.043273,0.043273,0.043273,0.043273,0.043273,0.043273,0.043361,0.043361,0.043361,0.043361,0.043361,0.043361,0.043361,0.043361,0.043361,0.043361,0.043361,0.043361,0.043361,0.043361,0.043361,0.043361,0.043361,0.043361,0.043361,0.043361,0.043361,0.043361,0.043361,0.043361,0.043361,0.043361,0.043361,0.043361,0.043361,0.043361,0.043361,0.043361,0.043361,0.043361,0.043361,
0.006244,0.009426,0.010625,0.010625,0.010625,0.010625,0.010625,0.010628,0.010628,0.010628,0.010628,0.010628,0.010628,0.010628,0.010628,0.010628,0.010628,0.010630,0.010630,0.010630,0.010630,0.010630,0.010630,0.010630,0.010630,0.010630,0.010630,0.010630,0.010630,0.010630,0.010630,0.010630,0.010630,0.010630,0.010630,0.010630,0.010630,0.010630,0.010630,0.010630,0.010630,0.010630,0.010630,0.010630,0.010630,0.010630,0.010630,0.010630,0.010630,0.010630,
0.003235,0.003235,0.003235,0.010409,0.010409,0.010409,0.013685,0.013685,0.013685,0.013685,0.013685,0.013685,0.013685,0.013685,0.013685,0.013685,0.013685,0.013685,0.013685,0.013685,0.013685,0.013685,0.013685,0.013685,0.013685,0.013685,0.013685,0.032157,0.032157,0.032157,0.032157,0.032157,0.032157,0.032157,0.032157,0.032157,0.032157,0.032157,0.032157,0.032157,0.032157,0.032157,0.032157,0.032157,0.032157,0.032157,0.032157,0.032157,0.032157,0.032157,
0.015135,0.015135,0.015135,0.043401,0.043401,0.043401,0.043401,0.043401,0.043401,0.043401,0.043401,0.043401,0.043401,0.043401,0.043401,0.043401,0.043401,0.043401,0.043401,0.043401,0.043401,0.043401,0.043401,0.043401,0.043401,0.043401,0.043401,0.043401,0.043401,0.043401,0.043401,0.043401,0.043401,0.043401,0.043401,0.043401,0.043401,0.043401,0.043405,0.043405,0.043405,0.043405,0.043405,0.043405,0.043405,0.043405,0.043405,0.043405,0.043405,0.043405,
0.009081,0.009081,0.009081,0.009081,0.026957,0.026957,0.026957,0.026957,0.026957,0.322242,0.322242,0.323123,0.323304,0.323754,0.323754,0.323754,0.323754,0.323754,0.323754,0.323754,0.323754,0.323754,0.323754,0.323754,0.323754,0.323754,0.323754,0.323754,0.323754,0.323754,0.323754,0.323754,0.323754,0.323754,0.323754,0.323754,0.323754,0.323754,0.323754,0.323754,0.323754,0.323754,0.323754,0.323754,0.323754,0.323754,0.323754,0.323754,0.323754,0.323754,
0.041412,0.041412,0.041412,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,0.196707,
0.005811,0.019206,0.019206,0.019206,0.045288,0.045288,0.045308,0.045308,0.045308,0.045308,0.045308,0.045308,0.045308,0.045308,0.045308,0.045308,0.045308,0.045308,0.045308,0.045308,0.045308,0.045308,0.058284,0.058284,0.058284,0.058284,0.058541,0.058541,0.058541,0.058541,0.058541,0.058541,0.058541,0.058541,0.058541,0.058541,0.058541,0.058541,0.058541,0.058541,0.058541,0.058541,0.058541,0.058541,0.058541,0.058541,0.058541,0.058541,0.058593,0.058593,
0.089802,0.089802,0.089802,0.090254,0.090254,0.090254,0.090254,0.090254,0.090254,0.090254,0.098977,0.098977,0.098977,0.098977,0.098977,0.099223,0.099223,0.099223,0.099223,0.099223,0.099223,0.099223,0.099223,0.099223,0.099223,0.099223,0.099223,0.099223,0.099223,0.099223,0.099223,0.099223,0.099223,0.099223,0.099223,0.099223,0.099223,0.099223,0.099223,0.099223,0.099223,0.099223,0.099223,0.099223,0.099223,0.099223,0.099223,0.099223,0.099223,0.099223,
0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,0.014258,
